Article_ID,Coords_Ref,Coords_Impact
2SJJJATS,"19.68685067341048, 10.781570576751472
17.104513420057625, 11.836719131884896
26.73968575246021, 10.50389990434794

","7.108369213530441, 9.920791492300518
7.358272818693621, 9.698654954377693
6.108754792877723, 9.032245340609215
"
HCQJJA6K,"6.266040781068108, 3.9750785525847694
6.442679912878633, 3.9285945705293677
6.610022248278079, 3.937891366940448
6.721583805211042, 3.8914073848850466
6.8331453621440055, 3.8728137920628862
","5.940652906680299, 1.8554089708584653
6.042917667202182, 1.8089249888030636
6.200963206190546, 1.7531442103365826
6.30322796671243, 1.6880666354590204
6.461273505700794, 1.6322858569925385
"
32D3H9CG,"1.1924882629107982, 0.19456053830400796
1.3333333333333335, 0.25794081999414903
1.5516431924882632, 0.13352767445424263
1.23943661971831, 0.08188448196597996
","0.7253521126760565, 0.5724948106044776
0.5305164319248826, 0.5889267354871067
0.4178403755868545, 0.638222510134994
0.5751173708920189, 0.7696779091960269
0.7042253521126761, 0.7086450453462616
0.6267605633802817, 0.9363445758626936
0.42957746478873243, 0.8870488012148061
0.38028169014084506, 0.9715558434683274
0.40610328638497656, 1.0842318998063556
0.2934272300469484, 1.1170957495716136
0.4882629107981221, 1.1898657026232569
0.45774647887323944, 1.382353965534055
0.6267605633802817, 1.3800065476936796
0.7370892018779344, 1.478598096989454
0.7746478873239437, 1.598316406848609
1.0375586854460095, 1.3213211016842898
0.807511737089202, 1.1922131204636326
0.7464788732394367, 1.3494901157687968
0.8943661971830986, 1.0419783786795949
"
23YBSLJY,"2.0302840063483214, 1.0016477005488635
2.688286498810891, 1.0016477005488635
3.2207490420536273, 1.1618193598983046
","3.1861173319240184, 1.6293474466480247
2.428548672838824, 1.3696096206759578
1.4458738979111716, 0.8284891499008188
"
N8JUGRZP,"1.43979057591623, 0.7186705857138482
2.5026178010471196, 1.0642203239337433
4.047120418848166, 2.284115611891858
","2.486910994764397, 2.7500841982792927
1.8534031413612562, 3.090398334404947
1.3664921465968582, 2.5773093291693447
"
6MQ5L5W3,"11.072145792544564, 5.471025269042894
10.417173787915168, 4.067513830551329
13.161818378743115, 5.471025269042894
13.972736098760462, 4.348216118249643
14.159870957226005, 3.8803789720857877
14.003925241838054, 3.724433256697837
13.879168669527694, 3.5372983982322954
14.440573244924318, 3.318974396689163
16.000030398803837, 3.4749201120771143
15.968841255726245, 3.4437309689995237
","23.984451026666957, 18.50808707547565
24.389909886675632, 17.166953923139264
24.545855602063586, 14.203985330768184
25.23201674977057, 13.64258075537156
19.212512135795638, 12.270258459957587
20.3041321435113, 11.95836702918168
20.959104148140696, 11.085071023009151
20.678401860442385, 10.211775016836622
21.801211011235633, 9.182533295276144
"
M8RNV8QF,"8.402353688777465, 2.910810308559334
7.487667084682703, 3.3575177198614274
3.775741214577215, 2.3471080990590742
3.39284914774685, 2.602369476945984
5.39239660786098, 5.676141902334196
","6.934600765927731, 3.017169216012214
6.902693093691867, 3.3149741568802753
6.498529245370926, 3.0278051067575014
5.094591666992918, 3.6659585514747772
4.647884255690825, 4.16584541650331
5.39239660786098, 4.463650357371373
5.732745111710194, 4.506193920352524
5.286037700408101, 5.059260239107497
"
V8NTS7DM,"20.08571428571433, 10.341524796447102
21.371428571428623, 10.77009622501853
21.714285714285765, 12.055810510732819
20.685714285714333, 12.512953367875676
23.571428571428626, 9.9415247964471
12.62857142857146, 4.398667653589943
","29.971428571428643, 11.855810510732818
28.77142857142864, 11.541524796447105
26.68571428571435, 11.941524796447105
24.971428571428632, 11.941524796447105
23.48571428571434, 11.455810510732817
22.628571428571483, 14.398667653589968
22.771428571428626, 15.17009622501854
21.82857142857148, 11.39866765358996
20.00000000000005, 11.855810510732818
19.34285714285719, 12.284381939304248
19.54285714285719, 10.655810510732815
19.800000000000047, 8.45581051073281
15.257142857142894, 6.3700962250185205
14.200000000000033, 5.255810510732804
"
NBSW9A37,"3.8688412187920487, 2.6247225282204423
3.845674504907066, 1.9818462179121827
3.3881319056786654, 1.0841360548691177
","2.200837819073321, 1.3679282999601512
2.2761296391995134, 1.379511656902642
2.6757554537154586, 1.6575122235224302
3.283881693196245, 2.1266381796933223
3.793549398665856, 2.6942226698753893
"
HTRBKQFD,"8.530208778295997, 7.9872476512831625
8.905163010309007, 8.28408641829346
9.233247963320391, 8.518432813301592
10.498718496364303, 8.018493837284247
7.8584157792726845, 6.034361026215397
","7.327230617254253, 4.675151935168232
6.796045455235821, 5.300075655189917
6.546075967227148, 5.721899166204554
6.733553083233653, 6.737400211239792
5.343097806185404, 5.971868654213228
4.890028109169683, 7.487308675265813
"
RM8Z8FDU,"1.8212995156611353, 6.583879360813511
11.320626401266273, 4.3578466194499015
8.535109494961006, 8.036157405981214
8.404166392527852, 7.3576340570094185
","10.570679541876393, 2.2508530621164313
8.99936231267855, 3.0722234319243937
11.213491135639146, 5.3577757653030735
5.713880833446699, 2.5841627774008225
5.797208262267796, 5.083985642033753
7.118543205002346, 5.083985642033753
7.499468593898792, 4.941138621197585
8.582725168573061, 2.560354940594794
8.404166392527852, 7.3576340570094185
"
AVN24SGS,"0.6753400348941482, 2.348205371037721
0.6258150990019106, 2.2491554992532463
0.6258150990019106, 2.2671645668504237
1.5802956816523068, 2.073567090180768
1.5802956816523068, 2.0510557556842963
1.6073092830480726, 2.019539887389236
1.95848610119303, 0.4662578071326951
1.9719929018909128, 0.44374647263622347
1.9945042363873844, 0.38521700294539746
","0.6528287003976766, 2.32569403654125
0.630317365901205, 2.312187235843367
0.6348196328004994, 2.2761691006490126
1.6073092830480726, 2.0690648232814732
1.5893002154508955, 2.064562556382179
1.5802956816523068, 2.02404215428853
1.9674906349916184, 0.3627056684489259
1.9809974356895015, 0.3627056684489259
1.976495168790207, 0.475262340931284
"
K5U6H65E,"9.870983680300688, 5.190715621258473
9.870983680300688, 6.3444669605143975
10.178650704102267, 7.0367177640679515
10.242748000727596, 7.434121003144993
10.14019232612707, 7.613593433695915
9.883803139625753, 7.780246404921771
10.909359885631018, 6.3444669605143975
11.101651775507007, 5.870146965486962
11.434957717958719, 5.972702640087488
11.55033285188431, 5.511202104385118
11.524693933234179, 5.024062650032617
","9.358205307298054, 6.946981548792491
9.076177202146605, 6.600856147015714
9.037718824171407, 6.536758850390384
8.845426934295421, 6.447022635114924
9.037718824171407, 6.203452907938673
9.012079905521276, 6.011161018062686
9.127455039446868, 5.985522099412554
8.781329637670092, 5.729132912911237
8.53775991049384, 5.69067453493604
8.486482073193578, 5.8957858841370925
8.409565317243182, 5.254812917883802
8.38392639859305, 5.165076702608341
8.217273427367196, 5.100979405983012
8.858246393620487, 4.895868056781959
8.345468020617854, 6.139355611313344
8.294190183317589, 6.229091826588805
8.281370723992525, 6.382925338489595
8.396745857918116, 6.536758850390384
10.38376205330332, 3.5113664496748496
10.178650704102267, 3.3575329377740593
10.358123134653189, 3.1652410478980717
10.345303675328122, 2.998588076672216
10.05045611085161, 2.947310239371953
"
7HBZQTUC,"33,981721112929264; 62,73398927903479
32,528820922827784; 57,89098864536315
18,968419148547216; 37,06608592057515
24,780019908953175; 12,447499366077698","37,04895484758797; 68,70702339389646
30,91448737827057; 54,7430382334766
15,820468736660658; 37,873252692853754
20,905619402015873; 14,384699619546346"
CVFKTENI,"4.956637103648999, 4.285852590989149
4.935210718474725, 4.335847489729126
4.970921360431849, 4.521542827906178
5.006632002388975, 4.635816882168979
5.085195414694651, 4.607248368603278
4.949494975257574, 4.79294370678033
3.9638812572409146, 4.364416003294826
4.049586797938016, 4.350131746511975
4.02816041276374, 4.292994719380576
4.04244466954659, 4.235857692249175
4.006734027589465, 3.7287665764579945
4.470972373032094, 3.6502031641523183
4.328129805203593, 2.9431324534012364
4.313845548420742, 2.76457924361561
4.306703420029318, 2.5431732634814326
4.742373251906247, 2.6788737029185086
4.970921360431849, 2.578883905438558
3.5924905808868104, 3.0574065076640373
3.4139373711011842, 2.985985223749787
3.3996531143183337, 2.8431426559212856
3.4067952427097588, 2.7502949868327597
3.435363756275459, 2.507462621524307
1.4784205770249896, 3.278812487798215
1.207019698150837, 3.321665258146765
1.1284562858451612, 3.2716703594067895
1.4855627054164149, 3.6502031641523183
1.4498520634592893, 3.678771677718019
2.592592606087301, 3.8216142455465203
2.621161119653001, 3.8287563739379453
3.3282318304040834, 3.785903603589395
3.3639424723612086, 3.8716091442864955
4.149576595417966, 3.578781880238068
4.620957069252021, 4.435837287209076
1.1927354413679867, 3.007411608924062
","5.106621799868925, 4.771517321606055
5.035200515954675, 4.800085835171755
4.9994898739975495, 4.721522422866079
4.978063488823274, 4.700096037691804
4.906642204909024, 4.3429896181205505
4.870931562951899, 4.278710462597725
4.8352209209947725, 4.321563232946275
4.892357948126174, 4.207289178683474
4.5495357853377705, 4.31442110455485
4.256708521289342, 4.528684956297602
4.1138659534608415, 4.300136847772
4.05672892632944, 4.235857692249175
3.942454872066639, 4.385842388469102
3.6710539931924866, 4.457263672383352
3.6639118648010616, 4.471547929166202
3.513927168581135, 3.8573248875036454
3.513927168581135, 3.8358985023293704
3.471074398232584, 3.8287563739379453
3.435363756275459, 3.8358985023293704
3.7924701758467125, 3.535929109889517
4.05672892632944, 3.707340191283719
4.556677913729195, 3.5644976234552184
4.2209978793322165, 3.3430916433210403
4.2495663928979175, 3.293096744581065
4.406693217509269, 3.1359699199697135
4.4138353459006945, 3.1288277915782885
4.456688116249245, 3.071690764446888
4.392408960726419, 3.0431222508811873
4.456688116249245, 2.993127352141212
4.470972373032094, 2.993127352141212
4.50668301498922, 2.9645588385755115
4.420977474292119, 2.864569041095561
4.406693217509269, 2.8431426559212856
4.278134906463618, 2.8717111694869857
4.313845548420742, 2.7288686016584847
4.356698318769293, 2.5503153918728576
4.420977474292119, 2.471751979567182
4.856647306169048, 2.7431528584413347
4.963779232040425, 2.6788737029185086
4.706662609949122, 2.76457924361561
3.50678504018971, 2.471751979567182
3.542495682146835, 2.421757080827206
3.435363756275459, 2.393188567261506
3.342516087186933, 2.4431834660014817
3.2782369316641073, 2.486036236350032
3.321089702012658, 2.8360005275298605
3.442505884666885, 2.8074320139641604
3.4067952427097588, 2.893137554661261
3.4639322698411594, 2.9145639398355363
3.5282114253639847, 2.907421811444111
3.4496480130583094, 1.2933007949820454
2.8568513565700284, 1.3361535653305956
2.8497092281786034, 1.28615866659062
2.8068564578300528, 1.3075850517648953
2.214059801341772, 1.014757787716467
2.1712070309932217, 0.9361943754107918
2.0640751051218453, 0.8504888347136907
2.085501490296121, 1.0433263012821674
2.1497806458189466, 1.0790369432392926
2.2069176729503472, 1.0933212000221433
2.214059801341772, 1.193310997502094
2.2283440581246223, 1.2504480246334946
2.2426283149074724, 1.2718744098077701
2.2426283149074724, 1.2290216394592193
2.114070003861821, 1.193310997502094
2.121212132253246, 1.2718744098077701
1.1570247994108616, 2.893137554661261
1.1427405426280115, 2.993127352141212
1.214161826542262, 3.0502643792726127
1.2355882117165373, 3.1216856631868635
1.2498724684993874, 3.1645384335354136
1.3284358808050631, 3.185964818709689
1.2784409820650877, 3.2359597174496644
1.1784511845851366, 3.2359597174496644
1.214161826542262, 3.2716703594067895
1.3570043943707635, 3.278812487798215
1.399857164719314, 3.307381001363915
1.3498622659793384, 3.31452312975534
1.421283549893589, 3.450223569192417
1.4641363202421396, 3.5073605963238177
1.5712682461135157, 3.6287767789780427
2.1640649026017966, 3.9573146849835963
2.8639934849614535, 4.250141949032025
2.8639934849614535, 4.357273874903401
2.8139985862214782, 4.364416003294826
"
H44UKYWD,"4.393368422129581, 2.651852920974315
4.106150631820867, 2.6093021372248755
4.233802983069185, 2.3646351306656017
4.084875239946148, 2.258258171292004
7.574039507400149, 4.173043440016761
7.169807061780479, 4.300695791265078
6.8400384877223255, 4.481536622200194
7.0208793186574425, 4.960232939381382
","7.754880338335266, 5.375103080938413
7.744242642397905, 5.343189993126334
7.510213331775991, 5.141073770316499
7.4463871561518316, 5.215537641878017
7.201720149592558, 5.2048999459406575
7.042154710532162, 5.311276905314255
6.723023832411369, 5.258088425627456
6.765574616160808, 5.481480040312011
5.861370461485229, 5.151711466253859
5.75499350211163, 5.52403082406145
5.32948566461724, 5.226175337815377
5.563514975239155, 4.938957547506663
5.457138015865557, 2.034866556607448
5.2018333133689225, 2.1199681241063266
4.861427043373411, 2.0774173403568876
4.499745381503178, 1.705097982549296
"
V3ZEAMR5,"6.024524994009604, 5.531180647536466
6.33108268175788, 5.424551886580544
7.810556740021299, 5.437880481700034
13.14199478781741, 1.8791455847961314
13.888396114508865, 1.8258312043181704
9.409988154360134, 1.8924741799156217
8.996801705655935, 2.079074511588485
","11.449263207642145, 3.8917634478391627
11.236005685730301, 3.5985343552103766
8.836858564222052, 3.305305262581591
8.730229803266129, 3.5985343552103766
8.25040037896448, 3.878434852719672
8.050471452172125, 4.184992540467949
7.837213930260281, 4.398250062379793
7.210769959644238, 4.971379652517875
"
6C4GGHAI,"4.217484770863472, 3.117973359399366
4.462898755374924, 3.136152173066881
4.462898755374924, 2.863469968054156
4.1811271435284425, 2.8271123407191268
3.317633494321482, 3.363387343910818
3.035861882475, 3.3724767507445756
3.0085936619737272, 3.099794545731851
2.990414848306212, 2.818022933885369
","6.153528426453816, 2.9634534432254886
5.862667407773578, 2.9725428500592463
5.571806389093338, 2.9452746295579737
5.2445877430780685, 2.6816818313790067
3.0449512893087567, 3.636069548923542
3.063130102976272, 3.7724106514299054
3.081308916643787, 3.890572940268752
3.399438155825299, 3.626980142089785
"
32CP2Q8L,"10.410990126106856, 15.67902382010921
10.394697496801525, 16.24926584579581
11.127865815541444, 15.841950113162525
10.997524781098791, 14.636295544567991
11.632937324006722, 14.359320846377354
","14.695951633409052, 13.707615674164092
15.347656805622314, 14.082346148186717
16.34150719324754, 13.69132304485876
8.667678790436382, 17.308286750642363
7.608657885589831, 17.585261448833
8.65138616113105, 19.344865413808808
"
D3KLVXTW,"5.469996788377929, 7.031713248734667
5.808195514541081, 7.193460465595307
5.440588203494177, 6.472950135943375
3.63196023314341, 4.634913580708855
3.205535752329002, 4.0173332981500565
2.558546884886451, 3.5615002324518956
","5.27884098663354, 6.2523857493152315
4.999459430237892, 6.22297716443148
5.205319524424159, 5.7965526836170715
3.234944337212754, 4.546687826057598
2.970267073258983, 3.1056671667537348
2.6467726395377076, 3.1056671667537348
"
FCKPU3UH,"6.093511154249979, 16.314960662110103
6.045905598357401, 15.101018986849366
6.331538933712869, 14.386935648460698
6.1887222660351355, 13.934682867481206
","4.236894474439439, 5.698921698065219
5.0223861466669755, 10.530885621161882
5.569850039431621, 11.935249519992933
5.593652817377911, 12.316093967133556
"
JBAP45XH,"9.141833227208771, 8.808166665960936
10.44780940252431, 4.5829496281753705
17.028905031075162, 10.60068298502148
","13.751160904793025, 9.525173193585156
4.788579309490308, 4.736593884094847
8.988188971289295, 15.875802438256793
"
NBBD4Z3N,"2.3684210526315788, 1.724543267291297
2.5506072874493926, 1.6678631053479773
2.4412955465587043, 1.4978226195180178
","2.291497975708502, 1.4978226195180178
2.194331983805668, 1.4775797045382606
1.6437246963562755, 1.4532882065625523
"
3SC2PPWP,"18.570985350311833, 5.851588882966625
19.15132864250908, 4.819867474615968
16.63650770965435, 4.723143592583093
5.448778687851909, 15.846390026363618
7.479980210542266, 15.008116382078708
10.317214083506574, 14.363290501859549
","18.861156996410458, 7.5281361715364445
8.608425500925797, 14.363290501859549
"
78ZN83V9,"5.560547842406565, 3.475110879977267
5.516694941441213, 2.9927289693584007
4.788736785416378, 3.071664191096034
4.762425044837168, 3.518963780942618
","7.183105178124568, 4.597745144690264
7.1918757583176385, 2.019194567927599
3.166179449698375, 2.0104239877345287
3.02585016660925, 4.422333540828859

"
57CNBCCW,"1.2882427945645074, 2.066986351634232
1.519317735293567, 1.9167876401603432
1.4326646325201697, 1.7665889286864545
1.3113502886374133, 1.7261508140588693
1.484656494184208, 1.6106133436943395
","1.2882427945645074, 2.066986351634232
1.519317735293567, 1.9167876401603432
1.4326646325201697, 1.7665889286864545
1.3113502886374133, 1.7261508140588693
1.484656494184208, 1.6106133436943395
2.9981973559595483, 2.760211173821411
3.038635470587134, 2.713996185675599
3.050189217623587, 2.7544343003031844
2.9866436089230954, 2.4771443714283126
2.917321126704378, 2.3442762805091037"
2EP87ZDW,"4.665769834398048, 4.648659941274569
4.783394284004721, 5.207376076906267
5.479338944177539, 5.560249425726288
4.626561684529157, 5.374010713849055
3.9796272116924523, 5.7562901750707445
3.8325966496841106, 5.873914624677417
3.166058101912961, 6.030747224152982
2.970017352568505, 6.0993614864235415
4.597155572127488, 4.197766217782321
4.459927047586369, 4.4330151169956675
3.332692738855749, 6.403224647907448
3.332692738855749, 6.501245022579677
3.4797233008640904, 6.658077622055241
","3.0582356897735106, 3.256770620928933
3.019027539904619, 2.531419848354446
2.7543725282896037, 2.747064672633347
2.734768453355158, 2.884293197174467
2.0486258306495633, 4.423213079528445
1.7741687815673248, 4.452619191930113
2.0780319430512315, 3.59984193228173
2.097636017985677, 3.501821557609502
2.1074380554528998, 3.4528113702733885
0.980203746722279, 3.6488521196178443
"
YHP4Y2FQ,"1.2337633264533991, 7.6472825683394055
1.3188504524157025, 10.667875540001177
4.233084516624594, 2.116619380789685
5.445576061587417, 1.2870199026572284
","9.614845233740283, 4.052351496432089
9.16813782243819, 2.3080654142048695
7.998189840456518, 1.521009499053563
"
526RKDYU,"16.500000000000004, 5.037810494823447
3.1842105263157903, 11.564126284297132
","26.947368421052637, 8.853599968507657
3.4210526315789482, 10.722021021139238
3.763157894736843, 8.222021021139238
20.71052631578948, 4.985178915876078
"
XNNBIQ4T,"1.941010643108812, 1.869387770807604
2.2677801116456493, 1.8563169920661307
2.581478801441013, 2.09812639878339
","3.3591901365586847, 1.5295475235292932
3.3395839684464743, 1.8759231601783408
2.039041483669863, 2.986939353203587
"
